Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GND,GND WR,IWD
Yuan-Ti Fang-Blade,B,C,43890,3.88,9967,5,40721,55.50%,9287,56.20%,14557,55.60%,23844,55.80%,20355,55.10%,0.8pp
,,,,,,,,,,,,,,,,,
Zombie Ogre,B,C,64567,5.97,10794,8.24,32958,55.70%,6150,54.70%,10973,55.50%,17123,55.20%,17517,56.00%,-0.7pp
,,,,,,,,,,,,,,,,,
Armory Veteran,R,C,66385,6.2,12731,8.31,34695,54.50%,8264,54.80%,10766,50.60%,19030,52.40%,18146,55.80%,-3.4pp
,,,,,,,,,,,,,,,,,
Barbarian Class,R,U,22187,5.97,2697,8.88,3323,50.70%,674,47.60%,974,49.70%,1648,48.80%,1756,52.60%,-3.8pp
,,,,,,,,,,,,,,,,,
Battle Cry Goblin,R,U,9709,2.54,5806,2.64,29078,58.20%,6117,61.20%,8114,61.90%,14231,61.60%,15952,55.70%,5.9pp
,,,,,,,,,,,,,,,,,
Boots of Speed,R,C,71442,7.18,12296,9.66,26983,54.40%,4994,53.60%,7069,51.80%,12063,52.50%,15432,55.70%,-3.1pp
,,,,,,,,,,,,,,,,,
Brazen Dwarf,R,C,73264,7.75,8111,11.29,5540,51.20%,1260,49.20%,1704,47.70%,2964,48.30%,2915,53.10%,-4.8pp
,,,,,,,,,,,,,,,,,
Burning Hands,R,U,12711,3.25,4962,3.65,24014,56.10%,4723,56.60%,6289,55.80%,11012,56.10%,13555,55.90%,0.2pp
,,,,,,,,,,,,,,,,,
Chaos Channeler,R,U,12114,3.01,5155,3.31,25960,57.20%,4784,57.20%,7389,56.70%,12173,56.90%,14630,57.40%,-0.5pp
,,,,,,,,,,,,,,,,,
Critical Hit,R,U,25301,6.79,2889,10.27,1881,53.10%,293,48.80%,515,52.40%,808,51.10%,1101,54.80%,-3.7pp
,,,,,,,,,,,,,,,,,
"Delina, Wild Mage",R,R,2240,1.68,1360,1.63,7143,53.50%,1259,51.90%,1805,55.50%,3064,54.00%,4183,53.00%,0.9pp
,,,,,,,,,,,,,,,,,
Dragon's Fire,R,C,26769,2.6,14547,2.8,60783,57.20%,14880,59.30%,20021,59.40%,34901,59.40%,30583,55.20%,4.2pp
,,,,,,,,,,,,,,,,,
Dueling Rapier,R,C,69244,6.83,10353,9.53,22305,54.10%,4213,54.50%,6052,52.30%,10265,53.20%,12588,54.70%,-1.4pp
,,,,,,,,,,,,,,,,,
