Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GND,GND WR,IWD
,,,,,,,,,,,,,,,,,
Stromkirk Bloodthief,B,U,11298,3.23,2803,3.96,11220,55.20%,2178,55.40%,3354,56.00%,5532,55.80%,6201,54.80%,1.0pp
,,,,,,,,,,,,,,,,,
Tainted Adversary,B,M,711,1.22,551,1.23,2735,57.50%,465,58.50%,802,61.80%,1267,60.60%,1544,55.40%,5.2pp
,,,,,,,,,,,,,,,,,
Vampire Interloper,B,C,47258,4.74,9315,6.34,28519,55.80%,7641,57.40%,10749,55.30%,18390,56.20%,13362,55.30%,0.9pp
,,,,,,,,,,,,,,,,,
Vengeful Strangler,B,U,11601,3.32,2844,4.25,12941,56.70%,2507,60.40%,3867,56.80%,6374,58.20%,6980,55.70%,2.5pp
,,,,,,,,,,,,,,,,,
Abandon the Post,R,C,63774,8.22,7228,11.8,5059,53.20%,805,49.30%,1345,53.20%,2150,51.80%,2957,54.00%,-2.3pp
,,,,,,,,,,,,,,,,,
Ardent Elementalist,R,C,53855,5.82,8962,7.76,22838,53.00%,4915,50.10%,8725,53.60%,13640,52.30%,11315,54.10%,-1.8pp
,,,,,,,,,,,,,,,,,
Bloodthirsty Adversary,R,M,777,1.37,490,1.35,2062,54.70%,349,54.40%,535,57.00%,884,56.00%,1193,53.60%,2.3pp
,,,,,,,,,,,,,,,,,
Brimstone Vandal,R,C,55322,6.13,6270,8.99,13669,52.90%,3046,51.80%,4404,53.50%,7450,52.80%,7122,52.80%,-0.0pp
,,,,,,,,,,,,,,,,,
Burn Down the House,R,R,1958,1.72,1051,1.66,4787,54.40%,826,55.40%,1494,58.60%,2320,57.50%,2705,52.60%,4.8pp
,,,,,,,,,,,,,,,,,
Burn the Accursed,R,C,43321,4.38,8071,5.81,27722,53.40%,5804,53.40%,10580,56.10%,16384,55.10%,14032,52.00%,3.1pp
,,,,,,,,,,,,,,,,,
Cathartic Pyre,R,U,8876,2.58,3068,2.97,13437,53.70%,2697,53.60%,4522,55.50%,7219,54.80%,7220,52.80%,2.0pp
,,,,,,,,,,,,,,,,,
Curse of Shaken Faith,R,R,4491,4.17,530,6.2,352,,51,,79,,130,,224,47.30%,
,,,,,,,,,,,,,,,,,
Electric Revelation,R,C,62322,7.72,6950,11.19,7645,51.40%,1419,49.30%,2300,51.70%,3719,50.80%,4138,52.00%,-1.2pp
,,,,,,,,,,,,,,,,,
